                  20170515 洛阳钼业 (603993)
 时间	    价格	    成交	笔数	
09:53	    4.20	     546	0	S	
09:53	    4.21	     279	0	B	
09:53	    4.20	     293	0	S	
09:54	    4.20	     363	0	B	
09:54	    4.20	     320	0	B	
09:54	    4.20	      40	0	B	
09:54	    4.20	     897	0	B	
09:54	    4.20	    1033	0	B	
09:54	    4.20	     125	0	
09:54	    4.20	     103	0	B	
09:54	    4.20	     735	0	S	
09:54	    4.20	     370	0	S	
09:54	    4.20	     190	0	S	
09:54	    4.20	     349	0	S	
09:54	    4.20	      72	0	B	
09:54	    4.20	      64	0	B	
09:54	    4.19	     236	0	S	
09:54	    4.20	    1258	0	B	
09:54	    4.21	      10	0	B	
09:54	    4.20	      25	0	S	
09:54	    4.20	      12	0	S	
09:54	    4.20	     122	0	S	
09:55	    4.20	      53	0	S	
09:55	    4.20	     139	0	S	
09:55	    4.20	     100	0	S	
09:55	    4.21	     348	0	B	
09:55	    4.21	      57	0	B	
09:55	    4.20	      24	0	S	
09:55	    4.21	     126	0	B	
09:55	    4.20	      79	0	S	
09:55	    4.20	      18	0	S	
09:55	    4.21	      21	0	B	
09:55	    4.21	       2	0	B	
09:55	    4.21	     605	0	B	
09:55	    4.20	      29	0	S	
09:55	    4.21	    1510	0	B	
09:55	    4.21	      67	0	S	
09:55	    4.21	      47	0	S	
09:55	    4.21	       1	0	B	
09:55	    4.21	      80	0	B	
09:55	    4.21	      20	0	B	
09:56	    4.21	      10	0	B	
09:56	    4.21	       6	0	B	
09:56	    4.21	      30	0	B	
09:56	    4.21	      81	0	B	
09:56	    4.21	      32	0	B	
09:56	    4.21	      56	0	B	
09:56	    4.20	       9	0	S	
09:56	    4.21	      15	0	B	
09:56	    4.21	     136	0	B	
09:56	    4.21	      23	0	B	
09:56	    4.21	     119	0	B	
09:56	    4.20	    1004	0	S	
09:56	    4.20	       4	0	S	
09:56	    4.21	    2126	0	B	
09:56	    4.20	    1307	0	S	
09:56	    4.20	      77	0	B	
09:56	    4.20	      27	0	B	
09:57	    4.20	     112	0	B	
09:57	    4.20	    1000	0	B	
09:57	    4.20	      60	0	B	
09:57	    4.20	      29	0	B	
09:57	    4.19	      50	0	S	
09:57	    4.20	     380	0	B	
09:57	    4.20	      40	0	S	
09:57	    4.20	     618	0	S	
09:57	    4.20	     170	0	S	
09:57	    4.21	       2	0	B	
09:57	    4.20	      72	0	S	
09:57	    4.19	     200	0	S	
09:57	    4.20	       7	0	B	
09:57	    4.20	      63	0	B	
09:57	    4.20	     210	0	B	
09:57	    4.19	     278	0	S	
09:57	    4.20	     237	0	B	
09:58	    4.19	       5	0	S	
09:58	    4.19	       1	0	S	
09:58	    4.20	      34	0	B	
09:58	    4.20	      10	0	B	
09:58	    4.20	    3593	0	B	
09:58	    4.20	      89	0	S	
09:58	    4.20	     633	0	S	
09:58	    4.19	     108	0	S	
09:58	    4.20	       1	0	B	
09:58	    4.19	     400	0	S	
09:58	    4.20	      33	0	B	
09:58	    4.20	     200	0	B	
09:58	    4.20	      61	0	B	
09:58	    4.20	      20	0	B	
09:58	    4.20	      55	0	B	
09:58	    4.20	      28	0	B	
09:58	    4.19	      40	0	S	
09:58	    4.20	       3	0	B	
09:59	    4.20	     100	0	B	
09:59	    4.20	     460	0	B	
09:59	    4.20	    1140	0	B	
09:59	    4.20	       1	0	B	
09:59	    4.19	     135	0	S	
09:59	    4.20	       8	0	B	
09:59	    4.19	      45	0	S	
09:59	    4.20	     164	0	B	
09:59	    4.20	     321	0	B	
09:59	    4.20	      39	0	B	
09:59	    4.19	       6	0	S	
09:59	    4.19	      29	0	S	
09:59	    4.20	       5	0	B	
10:00	    4.20	     148	0	B	
10:00	    4.20	      58	0	B	
10:00	    4.20	      68	0	B	
